                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8175,                 5.7592,                   1.58,                      0,                      0,                      0,                      0,                 2.0585,                 4.7175,                  1.647,               6.66e-06,               6.66e-06,               6.66e-06
                      2,                 1.7618,                 5.7453,                 1.5809,                      0,                      0,                      0,                      0,                 2.0296,                 4.7421,                 1.6325,              1.654e-05,              1.654e-05,              1.654e-05
                      3,                 1.6759,                 5.5432,                 1.4775,                      0,                      0,                      0,                      0,                 1.7346,                 4.7412,                 1.4524,             2.6288e-05,             2.6288e-05,             2.6288e-05
                      4,                 1.3524,                 5.4094,                 1.2894,                      0,                      0,                      0,                      0,                 1.1964,                 4.6391,                 1.1421,             3.5905e-05,             3.5905e-05,             3.5905e-05
                      5,                 1.1264,                 5.1565,                 1.1462,                      0,                      0,                      0,                      0,                0.90511,                 4.5339,                0.97078,             4.5389e-05,             4.5389e-05,             4.5389e-05
                      6,                0.98809,                 5.0488,                 1.0968,                      0,                      0,                      0,                      0,                0.77846,                 4.4396,                0.90294,             5.4742e-05,             5.4742e-05,             5.4742e-05
                      7,                0.85786,                 4.9074,                 1.0236,                      0,                      0,                      0,                      0,                0.77281,                 4.3407,                 0.8823,             6.3963e-05,             6.3963e-05,             6.3963e-05
                      8,                0.88948,                 4.6505,                 1.0156,                      0,                      0,                      0,                      0,                0.74592,                  4.246,                 0.8575,             7.3052e-05,             7.3052e-05,             7.3052e-05
                      9,                0.93899,                 4.4016,                 1.0125,                      0,                      0,                      0,                      0,                0.74514,                 4.1796,                0.84693,             8.2009e-05,             8.2009e-05,             8.2009e-05
                     10,                0.83825,                 4.1118,                0.97809,                0.03846,                0.00641,                0.02244,                0.02019,                0.73035,                 4.1227,                0.83507,             9.0834e-05,             9.0834e-05,             9.0834e-05
                     11,                0.85438,                 4.0837,                 1.0227,                0.05233,                0.09343,                0.06864,                0.06231,                0.72297,                 4.0553,                0.83463,             9.9527e-05,             9.9527e-05,             9.9527e-05
                     12,                0.80681,                 3.8994,                 1.0073,                0.03295,                0.28768,                0.08324,                0.07771,                0.71314,                  4.007,                 0.8257,             0.00010809,             0.00010809,             0.00010809
