                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.994,                 5.9326,                 2.8804,                      0,                      0,                      0,                      0,                 2.4686,                 5.1004,                 2.9272,               4.55e-06,               4.55e-06,               4.55e-06
                      2,                 2.6577,                 5.6228,                  2.779,                      0,                      0,                      0,                      0,                 2.3952,                 5.0636,                 2.6563,             1.3515e-05,             1.3515e-05,             1.3515e-05
                      3,                 2.8439,                 5.7124,                 2.8799,                      0,                      0,                      0,                      0,                 2.3666,                 5.0279,                 2.6719,               2.23e-05,               2.23e-05,               2.23e-05
                      4,                 2.7672,                 5.6558,                 2.8267,                      0,                      0,                      0,                      0,                  2.404,                  4.965,                 2.7197,             3.0904e-05,             3.0904e-05,             3.0904e-05
                      5,                 2.6749,                 5.6625,                 2.6875,                      0,                      0,                      0,                      0,                 2.3213,                 4.9343,                 2.6738,             3.9328e-05,             3.9328e-05,             3.9328e-05
                      6,                 2.7405,                 5.5591,                  2.735,                      0,                      0,                      0,                      0,                 2.3064,                 4.9337,                 2.6859,             4.7573e-05,             4.7573e-05,             4.7573e-05
                      7,                 2.6389,                 5.3705,                  2.693,                      0,                      0,                      0,                      0,                 2.2669,                 4.9249,                 2.6617,             5.5636e-05,             5.5636e-05,             5.5636e-05
                      8,                 2.4991,                 5.3839,                 2.6104,                      0,                      0,                      0,                      0,                  2.245,                 4.9148,                 2.6591,              6.352e-05,              6.352e-05,              6.352e-05
                      9,                 2.5897,                 5.3168,                 2.6104,                      0,                      0,                      0,                      0,                 2.2332,                 4.9033,                 2.6622,             7.1224e-05,             7.1224e-05,             7.1224e-05
                     10,                 2.2601,                  5.079,                  2.471,                      0,                      0,                      0,                      0,                 2.2456,                 4.8663,                 2.6713,             7.8747e-05,             7.8747e-05,             7.8747e-05
                     11,                 2.3505,                 5.1536,                 2.4497,                0.01111,                0.03333,                0.00623,                0.00249,                 2.2432,                 4.8529,                 2.6731,             8.6091e-05,             8.6091e-05,             8.6091e-05
                     12,                 2.3116,                 5.0734,                 2.4656,                0.01333,                0.13333,                0.00983,                0.00269,                 2.2275,                 4.8291,                 2.6641,             9.3254e-05,             9.3254e-05,             9.3254e-05
                     13,                 2.4389,                 4.8902,                 2.4797,                0.00588,                    0.1,                0.00686,                 0.0027,                 2.2022,                  4.802,                 2.6512,             0.00010024,             0.00010024,             0.00010024
                     14,                 2.2046,                 5.0046,                 2.3112,                0.00706,                0.16667,                0.00965,                0.00319,                 2.1554,                 4.7885,                 2.6285,             0.00010704,             0.00010704,             0.00010704
                     15,                 2.1963,                 4.7244,                  2.273,                0.01027,                0.31667,                0.02686,                0.00571,                 2.1239,                 4.7686,                 2.6065,             0.00011366,             0.00011366,             0.00011366
                     16,                 2.0639,                 4.6155,                  2.242,                0.01013,                    0.4,                0.05056,                0.01105,                 2.1031,                 4.7343,                 2.5812,              0.0001201,              0.0001201,              0.0001201
                     17,                 2.2997,                 4.7434,                 2.3022,                 0.0146,                0.43333,                 0.0573,                 0.0126,                 2.0531,                 4.7143,                 2.5374,             0.00012637,             0.00012637,             0.00012637
                     18,                 2.2377,                 4.6815,                 2.2565,                0.01191,                0.46667,                0.06032,                0.01293,                 2.0291,                 4.6728,                 2.5136,             0.00013245,             0.00013245,             0.00013245
                     19,                  2.105,                 4.8237,                 2.1796,                0.01146,                0.56667,                0.13262,                0.02462,                 2.0112,                 4.6276,                 2.4945,             0.00013835,             0.00013835,             0.00013835
                     20,                 2.1861,                 4.2462,                 2.1854,                0.01095,                0.63333,                0.13237,                0.02795,                 1.9953,                 4.5858,                 2.4822,             0.00014407,             0.00014407,             0.00014407
                     21,                 1.8935,                 4.2676,                 2.0099,                0.00927,                    0.6,                0.12854,                0.03165,                 1.9775,                 4.5379,                 2.4725,             0.00014961,             0.00014961,             0.00014961
                     22,                 1.9523,                 4.2488,                 2.0812,                0.00909,                    0.6,                0.14217,                0.03185,                 1.9831,                 4.4668,                 2.4707,             0.00015497,             0.00015497,             0.00015497
                     23,                  2.028,                 3.8303,                 2.0133,                0.01032,                0.76667,                0.14983,                0.04026,                 1.9828,                 4.4198,                 2.4683,             0.00016016,             0.00016016,             0.00016016
                     24,                 2.0148,                 3.6759,                 2.0195,                0.01025,                0.76667,                 0.1632,                0.04653,                 1.9718,                 4.3923,                 2.4587,             0.00016516,             0.00016516,             0.00016516
                     25,                 1.8561,                 3.8782,                   1.96,                0.01142,                    0.8,                0.18401,                0.05162,                 1.9875,                 4.3697,                 2.4706,             0.00016998,             0.00016998,             0.00016998
                     26,                 1.8541,                 3.4145,                 1.9288,                0.01299,                0.86667,                0.20837,                0.05754,                 1.9931,                 4.3586,                 2.4802,             0.00017462,             0.00017462,             0.00017462
                     27,                 1.8759,                  3.353,                  1.921,                0.01227,                0.83333,                0.22178,                0.07017,                 1.9729,                 4.2897,                 2.4362,             0.00017908,             0.00017908,             0.00017908
                     28,                 1.6944,                 3.3961,                 1.7526,                0.01227,                0.83333,                0.22178,                0.07017,                 1.9729,                 4.2897,                 2.4362,             0.00018336,             0.00018336,             0.00018336
                     29,                 1.6959,                 3.2072,                 1.7374,                0.01301,                0.86667,                0.22781,                0.08395,                 1.9272,                 4.1708,                 2.3584,             0.00018746,             0.00018746,             0.00018746
                     30,                 1.7138,                 3.4879,                 1.8485,                0.01277,                0.86667,                0.24232,                0.09527,                 1.8542,                 4.0001,                 2.2366,             0.00019138,             0.00019138,             0.00019138
                     31,                  1.568,                 3.4036,                 1.7109,                0.01277,                0.86667,                0.24232,                0.09527,                 1.8542,                 4.0001,                 2.2366,             0.00019512,             0.00019512,             0.00019512
                     32,                 1.7611,                 3.3757,                 1.7388,                0.01377,                0.93333,                0.28544,                0.11956,                 1.7563,                  3.887,                 2.1191,             0.00019868,             0.00019868,             0.00019868
                     33,                 1.6216,                 2.9047,                 1.6628,                0.01484,                0.96667,                0.35642,                 0.1487,                 1.6889,                 3.7092,                 1.9925,             0.00020206,             0.00020206,             0.00020206
                     34,                 1.6759,                 3.0417,                 1.7561,                0.01484,                0.96667,                0.35642,                 0.1487,                 1.6889,                 3.7092,                 1.9925,             0.00020526,             0.00020526,             0.00020526
                     35,                 1.5425,                 2.9898,                 1.6593,                0.45331,                0.64409,                0.42654,                0.19737,                 1.6239,                 3.5505,                 1.8684,             0.00020827,             0.00020827,             0.00020827
                     36,                 1.6152,                 3.2456,                  1.684,                0.46458,                0.33927,                0.45576,                 0.2123,                 1.5863,                 3.3656,                 1.7706,             0.00021111,             0.00021111,             0.00021111
                     37,                 1.4142,                 2.8761,                 1.5342,                0.46458,                0.33927,                0.45576,                 0.2123,                 1.5863,                 3.3656,                 1.7706,             0.00021377,             0.00021377,             0.00021377
                     38,                 1.4551,                 2.7916,                 1.5288,                0.53668,                0.50817,                0.47564,                0.22931,                 1.5466,                 3.2029,                 1.7059,             0.00021625,             0.00021625,             0.00021625
                     39,                 1.4683,                 2.8898,                 1.5511,                0.55022,                0.53333,                0.49696,                0.25793,                 1.5357,                 3.0209,                 1.6555,             0.00021855,             0.00021855,             0.00021855
                     40,                 1.7707,                 3.4034,                 1.7036,                0.55022,                0.53333,                0.49696,                0.25793,                 1.5357,                 3.0209,                 1.6555,             0.00022067,             0.00022067,             0.00022067
                     41,                 1.4622,                 2.6051,                 1.4828,                0.62191,                0.53111,                0.58455,                0.31308,                 1.4757,                  2.888,                 1.6002,              0.0002226,              0.0002226,              0.0002226
                     42,                 1.4964,                 2.7375,                 1.5359,                0.67913,                0.55951,                0.68746,                0.38773,                 1.4235,                 2.7489,                 1.5573,             0.00022436,             0.00022436,             0.00022436
                     43,                 1.5011,                   2.61,                 1.4605,                0.67913,                0.55951,                0.68746,                0.38773,                 1.4235,                 2.7489,                 1.5573,             0.00022594,             0.00022594,             0.00022594
                     44,                 1.4778,                 2.8027,                 1.5611,                0.76404,                   0.65,                0.75376,                0.44105,                 1.3627,                 2.5656,                 1.4983,             0.00022734,             0.00022734,             0.00022734
                     45,                 1.4452,                  2.976,                 1.5385,                0.76404,                   0.65,                0.75376,                0.44105,                 1.3627,                 2.5656,                 1.4983,             0.00022855,             0.00022855,             0.00022855
