                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7313,                 5.2558,                 2.7016,                      0,                      0,                      0,                      0,                 2.8305,                 5.2592,                 2.9216,               4.35e-06,               4.35e-06,               4.35e-06
                      2,                  2.952,                 5.3339,                 2.6886,                      0,                      0,                      0,                      0,                 3.0847,                 5.2016,                 3.0184,             1.2792e-05,             1.2792e-05,             1.2792e-05
                      3,                 2.7055,                 5.2286,                   2.64,                      0,                      0,                      0,                      0,                 3.1715,                 5.1824,                 3.0099,             2.0889e-05,             2.0889e-05,             2.0889e-05
                      4,                 2.8141,                 5.2451,                 2.6934,                      0,                      0,                      0,                      0,                  2.957,                 5.2058,                 2.9579,             2.8641e-05,             2.8641e-05,             2.8641e-05
                      5,                 2.8121,                 5.1582,                 2.6497,                      0,                      0,                      0,                      0,                 2.8069,                 5.2037,                 2.9613,             3.6049e-05,             3.6049e-05,             3.6049e-05
                      6,                 2.7914,                 5.1544,                  2.641,                      0,                      0,                      0,                      0,                 2.7712,                 5.1907,                 2.9736,             4.3113e-05,             4.3113e-05,             4.3113e-05
                      7,                 2.9922,                 5.1554,                 2.6138,                      0,                      0,                      0,                      0,                 2.6779,                 5.1812,                 2.9573,             4.9832e-05,             4.9832e-05,             4.9832e-05
                      8,                 2.6002,                 5.1497,                 2.5549,                      0,                      0,                      0,                      0,                 2.5665,                 5.1923,                  2.946,             5.6206e-05,             5.6206e-05,             5.6206e-05
                      9,                 2.6329,                  5.089,                 2.5541,                      0,                      0,                      0,                      0,                 2.5129,                 5.1988,                 2.9363,             6.2236e-05,             6.2236e-05,             6.2236e-05
                     10,                 2.6605,                 5.0457,                 2.5301,                      0,                      0,                      0,                      0,                 2.4657,                 5.2022,                 2.9215,             6.7922e-05,             6.7922e-05,             6.7922e-05
                     11,                 2.5549,                 4.9786,                 2.4902,                      0,                      0,                      0,                      0,                 2.4345,                 5.1936,                 2.9079,             7.3263e-05,             7.3263e-05,             7.3263e-05
                     12,                 2.6926,                 4.9192,                 2.4309,                      0,                      0,                      0,                      0,                 2.4172,                 5.1845,                 2.8997,             7.8259e-05,             7.8259e-05,             7.8259e-05
                     13,                 2.7276,                  4.939,                 2.5205,                      0,                      0,                      0,                      0,                 2.3949,                 5.1748,                 2.8925,             8.2911e-05,             8.2911e-05,             8.2911e-05
                     14,                 2.4924,                 4.7319,                 2.3627,                      0,                      0,                      0,                      0,                 2.3683,                 5.1631,                 2.8863,             8.7218e-05,             8.7218e-05,             8.7218e-05
                     15,                 2.4812,                 4.8224,                 2.4218,                      0,                      0,                      0,                      0,                 2.3317,                 5.1585,                 2.8725,             9.1181e-05,             9.1181e-05,             9.1181e-05
